"Step","Group: canon_1.7 - eval_margin","Group: canon_1.7 - eval_margin__MIN","Group: canon_1.7 - eval_margin__MAX","Group: amari_1.7 - eval_margin","Group: amari_1.7 - eval_margin__MIN","Group: amari_1.7 - eval_margin__MAX"
"1","-0.013072245140349313","-0.01549079502957096","-0.009005857525326497","0.006450420488589477","0.0056189765766739294","0.007146166789526533"
"100","0.18661962856095723","0.1754897217273653","0.1965551934778295","0.18210017121342756","0.09068175455941523","0.34300965754618307"
"200","0.3934983213037114","0.3563080579875705","0.4180552488442839","0.5246700565010388","0.2074556149697552","0.9411915084790616"
"300","0.49910681692212905","0.469196666131052","0.5254028827702213","0.34649642645726325","0.3247421416121402","0.36673387125991874"
"400","0.5457638409193134","0.5253696621225644","0.5760308592299614","0.34771411488739346","0.3231158668751873","0.383381356913892"
"500","0.5669930705571748","0.5580056037435989","0.5806813781057986","0.5256537732042411","0.3650807122892094","0.7032954681605573"
"600","0.5848928405990669","0.5736746523110751","0.5922659002641762","0.451774455813898","0.35915309181880384","0.559331659168478"
"700","0.6371109658825964","0.631320179092683","0.6477411206985365","0.42023790620819285","0.3549961003489674","0.4728831648974428"
"800","0.6417785964308124","0.6306740478704875","0.6543340433919285","0.5370448130483507","0.451294659888224","0.6058885754337386"
"900","0.6501603741696161","0.6220851720177701","0.6664383338731048","0.5183394127623941","0.44440466033235665","0.575808391181959"
"1000","0.6959796993905526","0.6856012554466909","0.7147340849971644","0.73328254405143","0.4740617131474354","0.9434066838215268"
"1100","0.6943571782332448","0.6869423604013198","0.7023104413168594","0.6417908101495374","0.48217213788025437","0.7367893362802173"
"1200","0.7159716533002672","0.7025433740964795","0.7357092796093119","0.7211995837451131","0.515720120527678","0.9143644314673212"
"1300","0.7126926250649381","0.6895543951444173","0.7334705317274682","0.6742903151298089","0.5492840213553299","0.7386590337292069"
"1400","0.7162451947273217","0.702264368280931","0.7289227752473726","0.6971187359165577","0.5230517451843572","0.8260580314293741"
"1500","0.745651470437965","0.7323675767263575","0.7715644030993443","0.6768991379806447","0.5892824325414877","0.8336361920135835"
"1600","0.7430838137038456","0.735266929416592","0.7547923456822034","0.7051462572186239","0.594021943412603","0.8604772878840329"
"1700","0.7469515278439589","0.7375989184638168","0.7547726259194499","0.6830699522609985","0.5585657596913358","0.7662391519499203"
"1800","0.7484946903740394","0.7388119809997519","0.7578545794652504","0.6752304624293058","0.5466165882904851","0.7723206327193313"
"1900","0.7488383635421486","0.7456863929975721","0.7513693948756786","0.6950927124945102","0.5399749061417958","0.795121428305431"
"1910","0.7530086361846231","0.7494001686037148","0.7596307457110564","0.6768139145440526","0.5303290987475997","0.7631023659533451"
