"Step","Group: canon_1.7 - grad_norm","Group: canon_1.7 - grad_norm__MIN","Group: canon_1.7 - grad_norm__MAX","Group: amari_1.7 - grad_norm","Group: amari_1.7 - grad_norm__MIN","Group: amari_1.7 - grad_norm__MAX"
"1","3.954327344894409","3.7519290447235107","4.110423564910889","0.45189368724823","0.4044710099697113","0.5144582986831665"
"25","3.957046906153361","3.5875909328460693","4.4103217124938965","0.4342615107695262","0.4283059239387512","0.44211629033088684"
"50","4.14240821202596","4.002035140991211","4.338931083679199","0.9361517429351807","0.5302002429962158","1.5502501726150513"
"75","3.8063637415568032","3.6845381259918213","3.9029829502105713","5.582677364349365","3.5140252113342285","8.908244132995605"
"100","3.7971468766530356","3.439652681350708","4.119604110717773","5.311281204223633","4.694279670715332","5.724613189697266"
"125","3.633848508199056","3.273711919784546","4.021356105804443","6.315156936645508","3.377906322479248","11.059412002563477"
"150","3.751842657725016","3.6168949604034424","3.992995262145996","3.185889720916748","2.0626139640808105","5.235347747802734"
"175","3.8724037806193032","3.727627992630005","4.140679359436035","5.023981253306071","2.9570021629333496","6.486938953399658"
"200","3.8555009365081787","3.2570688724517822","4.284046649932861","4.61100967725118","2.4863946437835693","5.690060138702393"
"225","4.184232314427693","3.789646863937378","4.471428394317627","6.276022831598918","3.611372232437134","10.587629318237305"
"250","3.8776915868123374","3.612337112426758","4.038520336151123","6.62033478418986","2.713595390319824","9.286615371704102"
"275","3.8611093362172446","3.7746918201446533","4.021726608276367","4.625259478886922","3.0857598781585693","6.958289623260498"
"300","4.096448580423991","3.78865909576416","4.463385581970215","5.002209663391113","3.5227651596069336","6.709583282470703"
"325","4.234903732935588","3.9567086696624756","4.613842010498047","6.7713814576466875","2.8395121097564697","12.306647300720215"
"350","4.149460554122925","3.9134843349456787","4.5449604988098145","5.055870612462361","2.5503017902374268","7.280114650726318"
"375","4.1324241161346436","3.990913152694702","4.243720531463623","3.2596903642018638","2.403984785079956","3.89595103263855"
"400","3.8164683977762857","3.3635056018829346","4.344584941864014","5.91260011990865","2.4636106491088867","12.060176849365234"
"425","3.8804050286610923","3.7292306423187256","4.110932350158691","3.597574472427368","3.1495554447174072","4.095734119415283"
"450","3.7128504117329917","3.3963096141815186","3.9401700496673584","7.227773030598958","5.0761284828186035","9.02934455871582"
"475","4.1333498160044355","3.863997220993042","4.438737869262695","3.8157618840535483","2.646763324737549","4.4141926765441895"
"500","3.8511411348978677","3.818082332611084","3.893038272857666","4.922457218170166","2.971251964569092","7.705970287322998"
"525","4.911674340565999","4.373804569244385","5.237421035766602","6.025888045628865","3.419456720352173","10.440370559692383"
"550","4.471871217091878","4.1158833503723145","5.119430065155029","4.916682402292888","3.004084587097168","6.759034156799316"
"575","4.227220376332601","4.057596683502197","4.490528106689453","6.264441728591919","3.9592015743255615","9.628273963928223"
"600","3.894896666208903","3.69134521484375","4.085804462432861","4.018926699956258","2.5380804538726807","6.201437473297119"
"625","3.4173397223154702","3.072887420654297","3.8107492923736572","3.857499281565348","3.099148988723755","4.518314838409424"
"650","3.8671317100524902","3.568638801574707","4.37058687210083","8.875239769617716","3.0101540088653564","13.087017059326172"
"675","3.9302987257639566","3.4193336963653564","4.29224157333374","4.961777051289876","2.6524925231933594","7.828481674194336"
"700","4.1040817101796465","3.8762552738189697","4.349356651306152","3.665442625681559","2.761556386947632","5.263591289520264"
"725","4.210096677144368","3.8667540550231934","4.698728084564209","3.599566698074341","2.6899824142456055","4.1287736892700195"
"750","3.9105008443196616","3.675011396408081","4.181455612182617","12.54025967915853","2.328368663787842","29.95975685119629"
"775","4.001865386962891","3.875537395477295","4.068643569946289","4.130871454874675","3.4484024047851562","5.155004024505615"
"800","4.292338927586873","3.479327917098999","5.106315612792969","7.810139576594035","3.112316846847534","16.781667709350586"
"825","4.1289381980896","4.065053939819336","4.229030132293701","5.786381721496582","2.8158841133117676","9.39016056060791"
"850","3.834927479426066","3.675654172897339","4.005115985870361","4.174726565678914","2.7764298915863037","4.881078720092773"
"875","4.331548690795898","4.166736125946045","4.437375068664551","3.723578612009684","2.724623203277588","4.686877250671387"
"900","3.803582747777303","3.5603301525115967","4.187409400939941","7.203428904215495","3.811049461364746","12.839755058288574"
"925","4.29825226465861","4.073753356933594","4.534301280975342","3.9902971585591636","2.9379172325134277","4.562723159790039"
"950","3.670411745707194","3.4399728775024414","4.074965953826904","7.072523911794026","2.8294856548309326","14.584070205688477"
"975","4.002632220586141","3.2761967182159424","4.657297134399414","6.609497785568237","3.4822351932525635","10.753786087036133"
"1000","3.638387441635132","3.4026875495910645","3.80108380317688","6.311147371927897","4.107491493225098","7.952983379364014"
"1025","3.7440361181894937","3.640737295150757","3.853569269180298","5.753072261810303","4.123196601867676","6.915242671966553"
"1050","4.312171300252278","3.7856502532958984","4.694151401519775","6.3984270095825195","3.787374496459961","8.483344078063965"
"1075","3.889380931854248","3.2877840995788574","4.513584613800049","10.547179619471232","3.708562135696411","23.698379516601562"
"1100","3.518122831980387","3.414503574371338","3.668182373046875","5.1842842896779375","3.0753161907196045","7.068095684051514"
"1125","3.6085445880889893","3.4098896980285645","3.807530164718628","4.317981719970703","3.6536951065063477","5.500577449798584"
"1150","3.734851837158203","3.4393210411071777","4.121473789215088","4.698392947514852","2.387010335922241","7.489528179168701"
"1175","3.7668402194976807","3.556002616882324","4.03093147277832","4.93463659286499","3.72857666015625","6.841985702514648"
"1200","4.099814176559448","3.7438247203826904","4.621352195739746","6.845948696136475","4.52236270904541","11.491987228393555"
"1225","3.788027286529541","3.6730434894561768","3.9938626289367676","3.859816869099935","2.7863504886627197","5.236210823059082"
"1250","3.66784938176473","3.3321895599365234","4.024629592895508","6.984477440516154","2.727785348892212","13.942728042602539"
"1275","3.6733907063802085","3.5206024646759033","3.8557240962982178","6.263887166976929","3.641151189804077","11.124150276184082"
"1300","3.338122526804606","3.1109910011291504","3.453674793243408","4.471286694208781","3.415724992752075","6.15145206451416"
"1325","3.9214017391204834","3.2574737071990967","4.742816925048828","5.277208089828491","3.419888734817505","7.595141410827637"
"1350","3.7918404738108316","3.639402389526367","4.0262603759765625","4.543295542399089","3.4848971366882324","6.472369194030762"
"1375","4.007986227671306","3.835939407348633","4.179416656494141","5.779176553090413","4.087708950042725","8.827167510986328"
"1400","3.0146117210388184","2.82059383392334","3.237865686416626","6.389761606852214","4.201347351074219","10.460930824279785"
"1425","3.9430922667185464","3.2526695728302","4.530047416687012","11.57331919670105","2.7586233615875244","23.686973571777344"
"1450","4.230871041615804","3.5004231929779053","5.236059665679932","6.82638676961263","4.116054534912109","10.269052505493164"
"1475","3.537984609603882","3.0874555110931396","3.8095932006835938","4.935574452082316","3.66934871673584","7.219655513763428"
"1500","3.8045385678609214","2.926236152648926","4.466059684753418","5.957280953725179","3.732292652130127","9.114510536193848"
"1525","3.496612787246704","3.34853196144104","3.611086130142212","4.936254501342773","3.590897798538208","7.3429460525512695"
"1550","3.939026117324829","3.3369927406311035","4.481131553649902","5.811091423034668","3.190560817718506","9.432966232299805"
"1575","4.25077486038208","3.7313170433044434","4.721784591674805","5.14828888575236","3.611591339111328","7.276247501373291"
"1600","4.014107306798299","3.668287515640259","4.286384105682373","5.416401942571004","3.9684689044952393","7.367875576019287"
"1625","3.8566463788350425","3.320559024810791","4.344825744628906","4.855938355127971","3.1275713443756104","7.4259185791015625"
"1650","3.8235182762145996","3.3172764778137207","4.131832122802734","13.415813128153482","3.6236562728881836","31.185678482055664"
"1675","4.1780491669972735","3.8224124908447266","4.8709540367126465","5.139812707901001","3.6325933933258057","7.610762596130371"
"1700","4.0426169236501055","3.623995065689087","4.324847221374512","5.353307406107585","3.7032933235168457","7.975324630737305"
